"Collected.From"|"Year"|"Player"|"Position"|"Body-fat"|"Hand.length.(in)"|"Hand.width.(in)"|"Height.w/o.shoes"|"Height.w/.shoes"|"Standing.reach"|"Weight.(LBS)"|"Wingspan"
"46"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-63"|"2019-2020"|"Dewan Hernandez"|"C"|"6.0999999999999999E-2"|"9.5"|"10.25"|"6' 9''"|"6' 10.25''"|"8' 11''"|"232.8"|"7' 1.75''"
"47"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-64"|"2019-2020"|"Neemias Queta"|"C"|"6.3E-2"|"9.5"|"11"|"6' 10.75''"|"7' 0.25''"|"9' 3.5''"|"225.8"|"7' 4.25''"
"48"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-65"|"2019-2020"|"Cody Martin"|"PG-SG"|"0.05"|"8.25"|"9"|"6' 4.75''"|"6' 5.5''"|"8' 6.5''"|"192.2"|"6' 10.25''"
"49"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-66"|"2019-2020"|"Ky Bowman"|"PG"|"4.9000000000000002E-2"|"8.25"|"9"|"6' 1''"|"6' 2.25''"|"8' 2''"|"181.2"|"6' 7''"
"50"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-67"|"2019-2020"|"Luguentz Dort"|"PG"|"0.05"|"8.5"|"9"|"6' 2.75''"|"6' 4.25''"|"8' 3.5''"|"222.2"|"6' 8.5''"
"51"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-68"|"2019-2020"|"Devon Dotson"|"PG"|"5.8999999999999997E-2"|"8.25"|"9.5"|"6' 0''"|"6' 2''"|"7' 11.5''"|"178.6"|"6' 3.25''"
"52"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-69"|"2019-2020"|"Carsen Edwards"|"PG"|"5.5E-2"|"8.75"|"9"|"5' 10.75''"|"6' 0.25''"|"7' 10.5''"|"199.4"|"6' 6''"
"53"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-70"|"2019-2020"|"Darius Garland"|"PG"|"-%"|"-"|"-"|NA|NA|NA|"-"|NA
"54"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-71"|"2019-2020"|"Jaylen Hands"|"PG"|"5.0999999999999997E-2"|"8"|"8.25"|"6' 1.5''"|"6' 3''"|"8' 1''"|"180.4"|"6' 5.5''"
"55"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-72"|"2019-2020"|"Jared Harper"|"PG"|"3.9E-2"|"8.25"|"9.5"|"5' 9.75''"|"5' 11''"|"7' 10''"|"169.2"|"6' 5.5''"
